"event","experiment time","system time","system time text"
"START",0.000000000E0,1667298971.039,"2022-11-01 11:36:11.039 UTC+01:00"
"PAUSE",1.025281815E2,1667299073.567,"2022-11-01 11:37:53.567 UTC+01:00"
