"event","experiment time","system time","system time text"
"START",0.000000000E0,1667489888.464,"2022-11-03 16:38:08.464 UTC+01:00"
"PAUSE",7.697527479E1,1667489965.439,"2022-11-03 16:39:25.439 UTC+01:00"
