"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.509043190E-1,-2.190694511E-1,9.811438560E0,-3.447650373E-1
8.609132090E-1,-2.226607651E-1,9.803058624E0,-3.447650373E-1
8.710226540E-1,-2.059013397E-1,9.806650162E0,-3.507505357E-1
8.809803770E-1,-2.214636505E-1,9.801861763E0,-3.435679376E-1
8.909442380E-1,-2.166752517E-1,9.803058624E0,-3.435679376E-1
9.008956690E-1,-2.238578647E-1,9.805453300E0,-3.423708379E-1
9.109648840E-1,-2.310404629E-1,9.800664902E0,-3.459621370E-1
9.212259920E-1,-2.310404629E-1,9.799467087E0,-3.495534360E-1
9.310660460E-1,-2.226607651E-1,9.803058624E0,-3.435679376E-1
9.409905730E-1,-2.202665508E-1,9.803058624E0,-3.387795389E-1
9.509953360E-1,-2.226607651E-1,9.804255486E0,-3.447650373E-1
9.609327180E-1,-2.142810524E-1,9.810241699E0,-3.399766386E-1
9.709314090E-1,-2.142810524E-1,9.800664902E0,-3.507505357E-1
9.808867540E-1,-2.154781520E-1,9.800664902E0,-3.507505357E-1
9.908839270E-1,-2.214636505E-1,9.804255486E0,-3.447650373E-1
1.000855513E0,-2.202665508E-1,9.804255486E0,-3.471592367E-1
1.010878806E0,-2.142810524E-1,9.801861763E0,-3.339911401E-1
1.020884453E0,-2.202665508E-1,9.805453300E0,-3.411737382E-1
1.030887276E0,-2.178723514E-1,9.799467087E0,-3.459621370E-1
1.043033188E0,-2.214636505E-1,9.794678688E0,-3.483563364E-1
1.060908100E0,-2.178723514E-1,9.807847023E0,-3.435679376E-1
1.070881100E0,-2.214636505E-1,9.797073364E0,-3.399766386E-1
1.080902100E0,-2.190694511E-1,9.800664902E0,-3.447650373E-1
1.090878100E0,-2.298433632E-1,9.800664902E0,-3.411737382E-1
1.101045100E0,-2.238578647E-1,9.799467087E0,-3.387795389E-1
1.111102100E0,-2.154781520E-1,9.807847023E0,-3.435679376E-1
1.121082100E0,-2.226607651E-1,9.809044838E0,-3.423708379E-1
1.130865100E0,-2.238578647E-1,9.817423820E0,-3.423708379E-1
1.141197100E0,-2.130839527E-1,9.800664902E0,-3.483563364E-1
1.152760100E0,-2.142810524E-1,9.804255486E0,-3.471592367E-1
1.161689100E0,-2.310404629E-1,9.803058624E0,-3.423708379E-1
1.171559100E0,-2.202665508E-1,9.797073364E0,-3.471592367E-1
1.180938100E0,-2.118868530E-1,9.806650162E0,-3.459621370E-1
1.190871100E0,-2.226607651E-1,9.804255486E0,-3.519476354E-1
1.201761100E0,-2.262520641E-1,9.800664902E0,-3.423708379E-1
1.210889100E0,-2.142810524E-1,9.807847023E0,-3.411737382E-1
1.220874100E0,-2.214636505E-1,9.805453300E0,-3.471592367E-1
1.230847100E0,-2.130839527E-1,9.809044838E0,-3.447650373E-1
1.240935100E0,-2.226607651E-1,9.805453300E0,-3.363853395E-1
1.250946100E0,-2.202665508E-1,9.805453300E0,-3.483563364E-1
1.260915100E0,-2.130839527E-1,9.809044838E0,-3.399766386E-1
1.270870100E0,-2.166752517E-1,9.810241699E0,-3.447650373E-1
1.280926100E0,-2.214636505E-1,9.801861763E0,-3.495534360E-1
1.291360100E0,-2.178723514E-1,9.801861763E0,-3.483563364E-1
1.301334100E0,-2.166752517E-1,9.809044838E0,-3.423708379E-1
1.311105100E0,-2.226607651E-1,9.810241699E0,-3.435679376E-1
1.320865100E0,-2.226607651E-1,9.800664902E0,-3.531447649E-1
1.330885100E0,-2.142810524E-1,9.809044838E0,-3.471592367E-1
1.340965100E0,-2.202665508E-1,9.799467087E0,-3.399766386E-1
1.351079100E0,-2.154781520E-1,9.804255486E0,-3.483563364E-1
1.360876100E0,-2.202665508E-1,9.810241699E0,-3.459621370E-1
1.371091100E0,-2.202665508E-1,9.797073364E0,-3.531447649E-1
1.380961100E0,-2.118868530E-1,9.806650162E0,-3.399766386E-1
1.391090100E0,-2.190694511E-1,9.803058624E0,-3.519476354E-1
1.400917100E0,-2.226607651E-1,9.805453300E0,-3.435679376E-1
1.410834100E0,-2.118868530E-1,9.807847023E0,-3.531447649E-1
1.421069100E0,-2.202665508E-1,9.801861763E0,-3.399766386E-1
1.430902100E0,-2.154781520E-1,9.807847023E0,-3.567360640E-1
1.440887100E0,-2.274491638E-1,9.815030098E0,-3.411737382E-1
1.450833100E0,-2.250549644E-1,9.805453300E0,-3.531447649E-1
1.460884100E0,-2.154781520E-1,9.806650162E0,-3.471592367E-1
1.471047100E0,-2.166752517E-1,9.804255486E0,-3.519476354E-1
1.480882100E0,-2.190694511E-1,9.809044838E0,-3.471592367E-1
1.490877100E0,-2.262520641E-1,9.806650162E0,-3.519476354E-1
1.501022100E0,-2.250549644E-1,9.805453300E0,-3.411737382E-1
1.510847100E0,-2.214636505E-1,9.804255486E0,-3.507505357E-1
1.520880100E0,-2.178723514E-1,9.804255486E0,-3.507505357E-1
1.530821100E0,-2.154781520E-1,9.806650162E0,-3.471592367E-1
1.540885100E0,-2.094926536E-1,9.807847023E0,-3.495534360E-1
1.550926100E0,-2.202665508E-1,9.803058624E0,-3.495534360E-1
1.560939100E0,-2.130839527E-1,9.805453300E0,-3.471592367E-1
1.570853100E0,-2.166752517E-1,9.805453300E0,-3.495534360E-1
1.580860100E0,-2.262520641E-1,9.806650162E0,-3.483563364E-1
1.590852100E0,-2.118868530E-1,9.807847023E0,-3.411737382E-1
1.600916100E0,-2.166752517E-1,9.806650162E0,-3.447650373E-1
1.611122100E0,-2.190694511E-1,9.795876503E0,-3.531447649E-1
1.620875100E0,-2.214636505E-1,9.797073364E0,-3.543418646E-1
1.630856100E0,-2.202665508E-1,9.798270226E0,-3.435679376E-1
1.640857100E0,-2.202665508E-1,9.803058624E0,-3.543418646E-1
1.650913100E0,-2.238578647E-1,9.811438560E0,-3.459621370E-1
1.661058100E0,-2.202665508E-1,9.806650162E0,-3.471592367E-1
1.670862100E0,-2.190694511E-1,9.801861763E0,-3.471592367E-1
1.680871100E0,-2.238578647E-1,9.803058624E0,-3.483563364E-1
1.691031100E0,-2.202665508E-1,9.809044838E0,-3.603273630E-1
1.700927100E0,-2.262520641E-1,9.797073364E0,-3.483563364E-1
1.710842100E0,-2.154781520E-1,9.803058624E0,-3.555389643E-1
1.720893100E0,-2.250549644E-1,9.800664902E0,-3.543418646E-1
1.730982100E0,-2.250549644E-1,9.799467087E0,-3.579331636E-1
1.740878100E0,-2.262520641E-1,9.795876503E0,-3.531447649E-1
1.750883100E0,-2.190694511E-1,9.799467087E0,-3.447650373E-1
1.760960100E0,-2.226607651E-1,9.811438560E0,-3.543418646E-1
1.770929100E0,-2.250549644E-1,9.811438560E0,-3.555389643E-1
1.780899100E0,-2.238578647E-1,9.800664902E0,-3.567360640E-1
1.790906100E0,-2.202665508E-1,9.813833237E0,-3.543418646E-1
1.800883100E0,-2.226607651E-1,9.798270226E0,-3.543418646E-1
1.810989100E0,-2.190694511E-1,9.805453300E0,-3.519476354E-1
1.820925100E0,-2.130839527E-1,9.807847023E0,-3.591302633E-1
1.831220100E0,-2.214636505E-1,9.811438560E0,-3.555389643E-1
1.840985100E0,-2.166752517E-1,9.813833237E0,-3.459621370E-1
1.851050100E0,-2.130839527E-1,9.807847023E0,-3.579331636E-1
1.860886100E0,-2.238578647E-1,9.809044838E0,-3.507505357E-1
1.870875100E0,-2.130839527E-1,9.800664902E0,-3.459621370E-1
1.881043100E0,-2.250549644E-1,9.805453300E0,-3.495534360E-1
1.890995100E0,-2.262520641E-1,9.803058624E0,-3.543418646E-1
1.900915100E0,-2.118868530E-1,9.804255486E0,-3.531447649E-1
1.910886100E0,-2.214636505E-1,9.801861763E0,-3.495534360E-1
1.922340100E0,-2.142810524E-1,9.803058624E0,-3.435679376E-1
1.930914100E0,-2.286462635E-1,9.807847023E0,-3.519476354E-1
1.940927100E0,-2.118868530E-1,9.807847023E0,-3.519476354E-1
1.950911100E0,-2.250549644E-1,9.804255486E0,-3.567360640E-1
1.960876100E0,-2.154781520E-1,9.803058624E0,-3.531447649E-1
1.970890100E0,-2.202665508E-1,9.801861763E0,-3.543418646E-1
1.981150100E0,-2.202665508E-1,9.812635422E0,-3.555389643E-1
1.990986100E0,-2.154781520E-1,9.806650162E0,-3.483563364E-1
2.000869100E0,-2.059013397E-1,9.801861763E0,-3.555389643E-1
2.010863100E0,-2.214636505E-1,9.801861763E0,-3.519476354E-1
2.020916100E0,-2.154781520E-1,9.807847023E0,-3.579331636E-1
2.030911100E0,-2.214636505E-1,9.807847023E0,-3.603273630E-1
2.040917100E0,-2.202665508E-1,9.803058624E0,-3.483563364E-1
2.050993100E0,-2.190694511E-1,9.800664902E0,-3.423708379E-1
2.060969100E0,-2.190694511E-1,9.809044838E0,-3.519476354E-1
2.070880100E0,-2.118868530E-1,9.798270226E0,-3.579331636E-1
2.080953100E0,-2.070984542E-1,9.800664902E0,-3.615244627E-1
2.090792600E0,-2.154781520E-1,9.801861763E0,-3.531447649E-1
2.101002100E0,-2.154781520E-1,9.801861763E0,-3.531447649E-1
2.110862100E0,-2.154781520E-1,9.813833237E0,-3.459621370E-1
2.120880100E0,-2.226607651E-1,9.804255486E0,-3.543418646E-1
2.130855100E0,-2.190694511E-1,9.795876503E0,-3.519476354E-1
2.141060100E0,-2.190694511E-1,9.805453300E0,-3.519476354E-1
2.150968100E0,-2.202665508E-1,9.791088104E0,-3.675099611E-1
2.160900100E0,-2.190694511E-1,9.800664902E0,-3.651157618E-1
2.170902100E0,-2.202665508E-1,9.804255486E0,-3.579331636E-1
2.181087100E0,-2.190694511E-1,9.803058624E0,-3.555389643E-1
2.190889100E0,-2.202665508E-1,9.797073364E0,-3.519476354E-1
2.200899100E0,-2.154781520E-1,9.807847023E0,-3.567360640E-1
2.210882100E0,-2.238578647E-1,9.795876503E0,-3.591302633E-1
2.220900100E0,-2.190694511E-1,9.797073364E0,-3.591302633E-1
2.230910100E0,-2.190694511E-1,9.805453300E0,-3.579331636E-1
2.241026100E0,-2.154781520E-1,9.799467087E0,-3.687070608E-1
2.250913100E0,-2.214636505E-1,9.804255486E0,-3.555389643E-1
2.260950100E0,-2.142810524E-1,9.807847023E0,-3.495534360E-1
2.270954100E0,-2.178723514E-1,9.807847023E0,-3.579331636E-1
2.280860100E0,-2.118868530E-1,9.805453300E0,-3.591302633E-1
2.291091100E0,-2.250549644E-1,9.806650162E0,-3.543418646E-1
2.300933100E0,-2.238578647E-1,9.805453300E0,-3.567360640E-1
2.311152100E0,-2.190694511E-1,9.804255486E0,-3.639186621E-1
2.321313100E0,-2.166752517E-1,9.812635422E0,-3.471592367E-1
2.330877100E0,-2.226607651E-1,9.807847023E0,-3.555389643E-1
2.340832100E0,-2.166752517E-1,9.804255486E0,-3.543418646E-1
2.350881100E0,-2.154781520E-1,9.801861763E0,-3.627215624E-1
2.360998100E0,-2.226607651E-1,9.806650162E0,-3.507505357E-1
2.371808100E0,-2.106897533E-1,9.803058624E0,-3.591302633E-1
2.380890100E0,-2.250549644E-1,9.804255486E0,-3.591302633E-1
2.390876100E0,-2.130839527E-1,9.803058624E0,-3.555389643E-1
2.401046100E0,-2.238578647E-1,9.801861763E0,-3.531447649E-1
2.410920100E0,-2.202665508E-1,9.800664902E0,-3.591302633E-1
2.420904100E0,-2.142810524E-1,9.807847023E0,-3.567360640E-1
2.430944100E0,-2.154781520E-1,9.798270226E0,-3.591302633E-1
2.441060100E0,-2.250549644E-1,9.801861763E0,-3.591302633E-1
2.450867100E0,-2.226607651E-1,9.807847023E0,-3.591302633E-1
2.461107100E0,-2.166752517E-1,9.807847023E0,-3.555389643E-1
2.470939100E0,-2.142810524E-1,9.801861763E0,-3.579331636E-1
2.480881100E0,-2.178723514E-1,9.803058624E0,-3.639186621E-1
2.491647100E0,-2.190694511E-1,9.800664902E0,-3.543418646E-1
2.500903100E0,-2.238578647E-1,9.807847023E0,-3.615244627E-1
2.510968100E0,-2.154781520E-1,9.807847023E0,-3.543418646E-1
2.520897100E0,-2.190694511E-1,9.801861763E0,-3.615244627E-1
2.530819100E0,-2.166752517E-1,9.805453300E0,-3.639186621E-1
2.540860100E0,-2.142810524E-1,9.800664902E0,-3.579331636E-1
2.550826100E0,-2.214636505E-1,9.801861763E0,-3.567360640E-1
2.561029100E0,-2.202665508E-1,9.803058624E0,-3.579331636E-1
2.571792100E0,-2.178723514E-1,9.809044838E0,-3.543418646E-1
2.580890100E0,-2.214636505E-1,9.804255486E0,-3.555389643E-1
2.591277100E0,-2.130839527E-1,9.803058624E0,-3.603273630E-1
2.601159100E0,-2.262520641E-1,9.805453300E0,-3.519476354E-1
2.610876100E0,-2.082955539E-1,9.804255486E0,-3.543418646E-1
2.621023100E0,-2.274491638E-1,9.809044838E0,-3.615244627E-1
2.631028100E0,-2.202665508E-1,9.805453300E0,-3.555389643E-1
2.640894100E0,-2.154781520E-1,9.809044838E0,-3.579331636E-1
2.650909100E0,-2.202665508E-1,9.812635422E0,-3.579331636E-1
2.661392100E0,-2.178723514E-1,9.806650162E0,-3.507505357E-1
2.671074100E0,-2.190694511E-1,9.805453300E0,-3.615244627E-1
2.680937100E0,-2.214636505E-1,9.805453300E0,-3.579331636E-1
2.691160100E0,-2.322375625E-1,9.801861763E0,-3.591302633E-1
2.701537100E0,-2.250549644E-1,9.815030098E0,-3.603273630E-1
2.710848100E0,-2.250549644E-1,9.815030098E0,-3.579331636E-1
2.720885100E0,-2.142810524E-1,9.805453300E0,-3.471592367E-1
2.730983100E0,-2.178723514E-1,9.810241699E0,-3.567360640E-1
2.740945100E0,-2.142810524E-1,9.804255486E0,-3.651157618E-1
2.751083100E0,-2.214636505E-1,9.811438560E0,-3.543418646E-1
2.760972100E0,-2.130839527E-1,9.799467087E0,-3.507505357E-1
2.770913100E0,-2.106897533E-1,9.795876503E0,-3.543418646E-1
2.780856100E0,-2.059013397E-1,9.810241699E0,-3.579331636E-1
2.790930100E0,-2.082955539E-1,9.810241699E0,-3.579331636E-1
2.801141100E0,-2.142810524E-1,9.797073364E0,-3.579331636E-1
2.811012100E0,-2.166752517E-1,9.795876503E0,-3.663128614E-1
2.821175100E0,-2.070984542E-1,9.799467087E0,-3.615244627E-1
2.830823100E0,-2.082955539E-1,9.799467087E0,-3.651157618E-1
2.840852100E0,-2.154781520E-1,9.804255486E0,-3.591302633E-1
2.851077100E0,-2.214636505E-1,9.805453300E0,-3.591302633E-1
2.861059100E0,-2.154781520E-1,9.797073364E0,-3.627215624E-1
2.870895100E0,-2.226607651E-1,9.805453300E0,-3.603273630E-1
2.881280100E0,-2.214636505E-1,9.809044838E0,-3.591302633E-1
2.890892100E0,-2.250549644E-1,9.815030098E0,-3.543418646E-1
2.900854100E0,-2.250549644E-1,9.801861763E0,-3.495534360E-1
2.910909100E0,-2.238578647E-1,9.806650162E0,-3.531447649E-1
2.921070100E0,-2.190694511E-1,9.806650162E0,-3.579331636E-1
2.931083100E0,-2.190694511E-1,9.812635422E0,-3.615244627E-1
2.942133100E0,-2.166752517E-1,9.795876503E0,-3.507505357E-1
2.950954100E0,-2.094926536E-1,9.804255486E0,-3.519476354E-1
2.960960100E0,-2.106897533E-1,9.806650162E0,-3.651157618E-1
2.970958100E0,-2.178723514E-1,9.804255486E0,-3.651157618E-1
2.980922100E0,-2.214636505E-1,9.803058624E0,-3.555389643E-1
2.991043100E0,-2.214636505E-1,9.803058624E0,-3.615244627E-1
3.000908100E0,-2.286462635E-1,9.800664902E0,-3.627215624E-1
3.010894100E0,-2.250549644E-1,9.810241699E0,-3.663128614E-1
3.020933100E0,-2.202665508E-1,9.812635422E0,-3.567360640E-1
3.030987100E0,-2.214636505E-1,9.803058624E0,-3.627215624E-1
3.041146100E0,-2.214636505E-1,9.799467087E0,-3.579331636E-1
3.051310100E0,-2.178723514E-1,9.801861763E0,-3.603273630E-1
3.061064100E0,-2.250549644E-1,9.805453300E0,-3.567360640E-1
3.070886100E0,-2.298433632E-1,9.797073364E0,-3.591302633E-1
3.081179100E0,-2.298433632E-1,9.799467087E0,-3.567360640E-1
3.091351100E0,-2.250549644E-1,9.804255486E0,-3.603273630E-1
3.100865100E0,-2.214636505E-1,9.807847023E0,-3.591302633E-1
3.111044100E0,-2.226607651E-1,9.805453300E0,-3.591302633E-1
3.120985100E0,-2.250549644E-1,9.803058624E0,-3.627215624E-1
3.132082100E0,-2.166752517E-1,9.800664902E0,-3.651157618E-1
3.141148100E0,-2.142810524E-1,9.799467087E0,-3.639186621E-1
3.150897100E0,-2.154781520E-1,9.804255486E0,-3.699041605E-1
3.160865100E0,-2.214636505E-1,9.806650162E0,-3.507505357E-1
3.171177100E0,-2.214636505E-1,9.811438560E0,-3.567360640E-1
3.181116100E0,-2.190694511E-1,9.805453300E0,-3.615244627E-1
3.190909100E0,-2.178723514E-1,9.798270226E0,-3.567360640E-1
3.200860100E0,-2.130839527E-1,9.794678688E0,-3.591302633E-1
3.210957100E0,-2.214636505E-1,9.807847023E0,-3.531447649E-1
3.221029100E0,-2.142810524E-1,9.803058624E0,-3.639186621E-1
3.230991100E0,-2.238578647E-1,9.804255486E0,-3.615244627E-1
3.240880100E0,-2.166752517E-1,9.804255486E0,-3.567360640E-1
3.250862100E0,-2.190694511E-1,9.801861763E0,-3.519476354E-1
3.260876100E0,-2.226607651E-1,9.797073364E0,-3.627215624E-1
3.270881100E0,-2.214636505E-1,9.801861763E0,-3.663128614E-1
3.280996100E0,-2.250549644E-1,9.809044838E0,-3.507505357E-1
3.290979100E0,-2.190694511E-1,9.803058624E0,-3.603273630E-1
3.300987100E0,-2.154781520E-1,9.798270226E0,-3.663128614E-1
3.310944100E0,-2.035071403E-1,9.801861763E0,-3.663128614E-1
3.321023100E0,-2.178723514E-1,9.801861763E0,-3.555389643E-1
3.332101100E0,-2.070984542E-1,9.801861763E0,-3.603273630E-1
3.348372100E0,-2.154781520E-1,9.800664902E0,-3.687070608E-1
3.360896100E0,-2.178723514E-1,9.815030098E0,-3.651157618E-1
3.370874100E0,-2.238578647E-1,9.803058624E0,-3.603273630E-1
3.380992100E0,-2.286462635E-1,9.800664902E0,-3.627215624E-1
3.390872100E0,-2.286462635E-1,9.799467087E0,-3.687070608E-1
3.400972100E0,-2.298433632E-1,9.805453300E0,-3.543418646E-1
3.411071100E0,-2.238578647E-1,9.805453300E0,-3.615244627E-1
3.420899100E0,-2.178723514E-1,9.798270226E0,-3.627215624E-1
3.431097100E0,-2.226607651E-1,9.809044838E0,-3.483563364E-1
3.440984100E0,-2.166752517E-1,9.801861763E0,-3.627215624E-1
3.451005100E0,-2.250549644E-1,9.810241699E0,-3.591302633E-1
3.460897100E0,-2.106897533E-1,9.805453300E0,-3.483563364E-1
3.470871100E0,-2.214636505E-1,9.805453300E0,-3.615244627E-1
3.480922100E0,-2.166752517E-1,9.809044838E0,-3.651157618E-1
3.490879100E0,-2.274491638E-1,9.812635422E0,-3.567360640E-1
3.500937100E0,-2.226607651E-1,9.804255486E0,-3.615244627E-1
3.510942100E0,-2.178723514E-1,9.800664902E0,-3.615244627E-1
3.520932100E0,-2.286462635E-1,9.806650162E0,-3.627215624E-1
3.530942100E0,-2.214636505E-1,9.804255486E0,-3.615244627E-1
