"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.728516410E-1,-2.382230759E-1,5.147533491E-2,9.603142738E0
8.828013330E-1,-2.466027737E-1,6.344634295E-2,9.600749016E0
8.929716790E-1,-2.298433632E-1,5.746084079E-2,9.609128952E0
9.029593520E-1,-2.477998734E-1,5.626374111E-2,9.609128952E0
9.129231880E-1,-2.394201756E-1,5.985504389E-2,9.611522675E0
9.228951060E-1,-2.370259613E-1,6.464344263E-2,9.605537415E0
9.328275650E-1,-2.370259613E-1,5.506663769E-2,9.601945877E0
9.428457950E-1,-2.382230759E-1,5.147533491E-2,9.597157478E0
9.528299100E-1,-2.334346622E-1,5.746084079E-2,9.603142738E0
9.627814670E-1,-2.346317619E-1,5.985504389E-2,9.605537415E0
9.727642460E-1,-2.406172752E-1,5.386953801E-2,9.612719536E0
9.828361350E-1,-2.406172752E-1,6.105214357E-2,9.605537415E0
9.928305800E-1,-2.382230759E-1,6.703764945E-2,9.600749016E0
1.002831802E0,-2.382230759E-1,5.386953801E-2,9.601945877E0
1.012848913E0,-2.394201756E-1,6.823474914E-2,9.604340553E0
1.022877969E0,-2.442085743E-1,5.027823523E-2,9.607931137E0
1.032853997E0,-2.382230759E-1,5.985504389E-2,9.607931137E0
1.042863511E0,-2.358288616E-1,5.267243832E-2,9.604340553E0
1.052819768E0,-2.418143749E-1,6.224924326E-2,9.609128952E0
1.062887896E0,-2.334346622E-1,5.626374111E-2,9.607931137E0
1.072873460E0,-2.418143749E-1,6.224924326E-2,9.599552155E0
1.082813742E0,-2.346317619E-1,6.105214357E-2,9.606734276E0
1.092848383E0,-2.346317619E-1,6.224924326E-2,9.615114212E0
1.102895204E0,-2.394201756E-1,5.267243832E-2,9.603142738E0
1.112861614E0,-2.310404629E-1,6.105214357E-2,9.597157478E0
1.122859819E0,-2.406172752E-1,5.985504389E-2,9.598354340E0
1.132835422E0,-2.334346622E-1,6.105214357E-2,9.595960617E0
1.142860723E0,-2.406172752E-1,5.267243832E-2,9.599552155E0
1.152928874E0,-2.394201756E-1,5.147533491E-2,9.607931137E0
1.162883449E0,-2.394201756E-1,6.105214357E-2,9.611522675E0
1.172886737E0,-2.454056740E-1,6.344634295E-2,9.604340553E0
1.182821881E0,-2.370259613E-1,6.344634295E-2,9.604340553E0
1.193197953E0,-2.358288616E-1,6.464344263E-2,9.609128952E0
1.203653489E0,-2.430114746E-1,7.062894851E-2,9.606734276E0
1.213225257E0,-2.430114746E-1,7.062894851E-2,9.606734276E0
1.223054141E0,-2.489969730E-1,5.506663769E-2,9.600749016E0
1.233427583E0,-2.454056740E-1,5.985504389E-2,9.612719536E0
1.243133304E0,-2.346317619E-1,5.506663769E-2,9.599552155E0
1.252939164E0,-2.370259613E-1,5.147533491E-2,9.603142738E0
1.262889094E0,-2.358288616E-1,5.746084079E-2,9.601945877E0
1.272934559E0,-2.394201756E-1,5.506663769E-2,9.605537415E0
1.282901292E0,-2.358288616E-1,5.985504389E-2,9.607931137E0
1.292835658E0,-2.346317619E-1,5.746084079E-2,9.607931137E0
1.302865341E0,-2.310404629E-1,5.985504389E-2,9.604340553E0
1.312838683E0,-2.358288616E-1,5.386953801E-2,9.606734276E0
1.322880354E0,-2.346317619E-1,5.865794048E-2,9.606734276E0
1.333393689E0,-2.382230759E-1,6.105214357E-2,9.610325813E0
1.343158857E0,-2.358288616E-1,5.746084079E-2,9.594763756E0
1.353013441E0,-2.406172752E-1,6.224924326E-2,9.604340553E0
1.362922733E0,-2.370259613E-1,6.464344263E-2,9.607931137E0
1.372864379E0,-2.298433632E-1,5.386953801E-2,9.601945877E0
1.384899202E0,-2.322375625E-1,5.626374111E-2,9.606734276E0
1.402832025E0,-2.346317619E-1,5.746084079E-2,9.606734276E0
1.412902025E0,-2.394201756E-1,5.865794048E-2,9.604340553E0
1.422972025E0,-2.322375625E-1,6.823474914E-2,9.600749016E0
1.433053025E0,-2.286462635E-1,6.584054977E-2,9.603142738E0
1.442807025E0,-2.382230759E-1,5.985504389E-2,9.592369080E0
1.452737025E0,-2.370259613E-1,6.344634295E-2,9.600749016E0
1.462789025E0,-2.358288616E-1,5.746084079E-2,9.605537415E0
1.472860025E0,-2.334346622E-1,5.386953801E-2,9.599552155E0
1.482929025E0,-2.346317619E-1,5.386953801E-2,9.601945877E0
1.492872025E0,-2.358288616E-1,6.344634295E-2,9.599552155E0
1.502777025E0,-2.382230759E-1,5.985504389E-2,9.600749016E0
1.513202025E0,-2.310404629E-1,7.182604820E-2,9.599552155E0
1.522798025E0,-2.358288616E-1,6.224924326E-2,9.599552155E0
1.532874025E0,-2.262520641E-1,6.105214357E-2,9.599552155E0
1.543054025E0,-2.322375625E-1,5.506663769E-2,9.587580681E0
1.552759025E0,-2.322375625E-1,5.626374111E-2,9.607931137E0
1.562816025E0,-2.346317619E-1,5.746084079E-2,9.598354340E0
1.572856025E0,-2.358288616E-1,5.985504389E-2,9.603142738E0
1.582808025E0,-2.310404629E-1,5.626374111E-2,9.598354340E0
1.592827025E0,-2.382230759E-1,6.224924326E-2,9.597157478E0
1.602799025E0,-2.310404629E-1,6.703764945E-2,9.605537415E0
1.612871025E0,-2.334346622E-1,6.464344263E-2,9.604340553E0
1.622726025E0,-2.334346622E-1,6.344634295E-2,9.597157478E0
1.632943025E0,-2.322375625E-1,5.746084079E-2,9.601945877E0
1.642832025E0,-2.418143749E-1,6.703764945E-2,9.599552155E0
1.652825025E0,-2.322375625E-1,5.865794048E-2,9.598354340E0
1.662757025E0,-2.346317619E-1,4.908113554E-2,9.600749016E0
1.672731025E0,-2.310404629E-1,5.386953801E-2,9.603142738E0
1.682833025E0,-2.394201756E-1,5.746084079E-2,9.591172218E0
1.692872025E0,-2.346317619E-1,5.746084079E-2,9.599552155E0
1.702817025E0,-2.406172752E-1,5.386953801E-2,9.597157478E0
1.712818025E0,-2.358288616E-1,6.105214357E-2,9.597157478E0
1.722880025E0,-2.418143749E-1,6.464344263E-2,9.594763756E0
1.732902025E0,-2.322375625E-1,5.267243832E-2,9.598354340E0
1.742907025E0,-2.346317619E-1,5.746084079E-2,9.600749016E0
1.752842025E0,-2.406172752E-1,5.985504389E-2,9.600749016E0
1.762792025E0,-2.370259613E-1,5.865794048E-2,9.605537415E0
1.772838025E0,-2.310404629E-1,5.386953801E-2,9.607931137E0
1.782847025E0,-2.358288616E-1,6.224924326E-2,9.603142738E0
